code,name,user_broad_cancer
MDSEB2,MDS with excess blasts-2,Hematological Malignancies
AMLRUNX1RUNX1T1,AML with t(8;21)(q22;q22.1);RUNX1-RUNX1T1,Hematological Malignancies
AMLCEBPA,AML with Biallelic Mutations of CEBPA,Hematological Malignancies
AMLRARA,AML with Variant RARA translocation,Hematological Malignancies
AMLCBFBMYH11,AML with inv(16)(p13.1q22) or t(16;16)(p13.1;q22);CBFB-MYH11,Hematological Malignancies
AMLRBM15MKL1,AML (megakaryoblastic) with t(1;22)(p13.3;q13.3);RBM15-MKL1,Hematological Malignancies
AMLRUNX1,AML with Mutated RUNX1,Hematological Malignancies
AMLMLLT3KMT2A,AML with t(9;11)(p21.3;q23.3);MLLT3-KMT2A,Hematological Malignancies
AMLNPM1,AML with Mutated NPM1,Hematological Malignancies
APLPMLRARA,APL with PML-RARA,Hematological Malignancies
AMLGATA2MECOM,"AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM",Hematological Malignancies
AMLBCRABL1,AML with BCR-ABL1,Hematological Malignancies
AMLDEKNUP214,AML with t(6;9)(p23;q34.1);DEK-NUP214,Hematological Malignancies
AMML,Acute Myelomonocytic Leukemia,Hematological Malignancies
AWM,AML without Maturation,Hematological Malignancies
AMOL,Acute Monoblastic/Monocytic Leukemia,Hematological Malignancies
AM,AML with Maturation,Hematological Malignancies
AMKL,Acute Megakaryoblastic Leukemia,Hematological Malignancies
APMF,Acute Panmyelosis with Myelofibrosis,Hematological Malignancies
PERL,Pure Erythroid Leukemia,Hematological Malignancies
ABL,Acute Basophilic Leukemia,Hematological Malignancies
AMLMD,AML with Minimal Differentiation,Hematological Malignancies
TAML,Therapy-Related Acute Myeloid Leukemia,Hematological Malignancies
TMDS,Therapy-Related Myelodysplastic Syndrome,Hematological Malignancies
TAM,Transient Abnormal Myelopoiesis,Hematological Malignancies
MLADS,Myeloid Leukemia Associated with Down Syndrome,Hematological Malignancies
PMFPES,"Primary Myelofibrosis, Prefibrotic/Early Stage",Hematological Malignancies
PMFOFS,"Primary Myelofibrosis,Overt Fibrotic Stage",Hematological Malignancies
ETMF,Essential Thrombocythemia Myelofibrosis,Hematological Malignancies
CMLBCRABL1,"Chronic Myeloid Leukemia, BCR-ABL1+",Hematological Malignancies
PVMF,Polycythaemia Vera Myelofibrosis,Hematological Malignancies
SMAHN,Systemic Mastocytosis with an Associated Hematological Neoplasm,Hematological Malignancies
SMMCL,Mast Cell Leukemia,Hematological Malignancies
ISM,Indolent Systemic Mastocytosis,Hematological Malignancies
ASM,Aggressive Systemic Mastocytosis,Hematological Malignancies
SSM,Smoldering Systemic Mastocytosis,Hematological Malignancies
MBLG4,"Medulloblastoma, Group 4",Brain and Other Nervous System
MBLG3,"Medulloblastoma, Group 3",Brain and Other Nervous System
AMBLNWSG3,"Anaplastic Medulloblastoma, Group 3",Brain and Other Nervous System
AMBLNWSG4,"Anaplastic Medulloblastoma, Group 4",Brain and Other Nervous System
ASTR4,"Astrocytoma, IDH-Mutant, Grade 4",Brain and Other Nervous System
ASTR2,"Astrocytoma, IDH-Mutant, Grade 2",Brain and Other Nervous System
ASTR3,"Astrocytoma, IDH-Mutant, Grade 3",Brain and Other Nervous System
ODG2,"Oligodendroglioma, IDH-mutant, and 1p/19q-Codeleted, Grade 2",Brain and Other Nervous System
ODG3,"Oligodendroglioma, IDH-mutant, and 1p/19q-Codeleted, Grade 3",Brain and Other Nervous System
GSARC,Gliosarcoma,Brain and Other Nervous System
SCGBM,Small Cell Glioblastoma,Brain and Other Nervous System
ALCLALKN,Anaplastic Large-Cell Lymphoma ALK Negative,Hematological Malignancies
BIALCL,Breast Implant-Associated Anaplastic Large-Cell Lymphoma,Hematological Malignancies
ALCLALKP,Anaplastic Large-Cell Lymphoma ALK Positive,Hematological Malignancies
PCALCL,Primary Cutaneous Anaplastic Large Cell Lymphoma,Hematological Malignancies
LYP,Lymphomatoid Papulosis,Hematological Malignancies
ISMCL,In Situ Mantle Cell Neoplasia,Hematological Malignancies
EMALT,Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue (MALT lymphoma),Hematological Malignancies
NMZL,Nodal Marginal Zone Lymphoma,Hematological Malignancies
SMZL,Splenic Marginal Zone Lymphoma,Hematological Malignancies
MGUSIGG,IgG,Hematological Malignancies
MGUSIGA,IgA,Hematological Malignancies
MGUSIGM,IgM,Hematological Malignancies
MIDDO,"Monoclonal Immunoglobulin Deposition Diseases, Other",Hematological Malignancies
MIDDA,Amyloidosis,Hematological Malignancies
HCL-V,Hairy Cell Leukemia-Variant,Hematological Malignancies
SDRPL,Splenic Diffuse Red Pulp Small B-Cell Lymphoma,Hematological Malignancies
ISFN,In Situ Follicular Neoplasia,Hematological Malignancies
DFL,Duodenal-Type Follicular Lymphoma,Hematological Malignancies
WM,Waldenstrom Macroglobulinemia,Hematological Malignancies
GCB,Germinal Center B-Cell Type,Hematological Malignancies
ABC,Activated B-cell Type,Hematological Malignancies
