drug_name_lower,currently_resolves_to_bucket,bucket_generic_name,trials_referencing_this_name
trucef,cefpodoxime,cefpodoxime,0
trucks,n/a,N/A,0
true senna,senna,senna,0
trulicity,...,...,0
ts one,trastuzumab-qyyp,trastuzumab-qyyp,1
ts-08706,[18f]-dcfpyl ligand,[18F]-DCFPyl Ligand,0
tt11x therapy (allogeneic),...,...,0
ttrna-dc vaccines,...,...,1
tubulin inhibitor,...,...,0
tumor infiltrating lymphocytes,n/a,N/A,0
tumor infiltrating lymphocytes adoptive cell therapy,...,...,0
tumor lysate,n/a,N/A,0
tumor lysate-loaded,...,...,0
tumor lysate-loaded autologous dendritic cells,...,...,0
tumor lysate-loaded dc vaccine,...,...,0
tumor lysate-pulsed dc (tp-dc),...,...,0
tumor lysate-pulsed dc vaccination,...,...,0
tumor necrosis factor ligand superfamily member 2,...,...,0
tumor necrosis factor-α,...,...,0
tumor neoantigen specific t cell,n/a,N/A,0
tumor neoantigen-sensitized autologous dendritic cell,...,...,0
tumor stem cell assays,...,...,0
tumor-draining lymph node lymphocyte therapy,n/a,N/A,0
tumor-infiltrating lymphocytes,...,...,0
tumor-infiltrating lymphocytes (tils),n/a,N/A,0
tumor-lysate pulsed dc vaccination,...,...,0
tumor-pulsed dendritic cells,...,...,0
tumor-reduction chemotherapy,n/a,N/A,0
tumor-specific tcr-t cells,...,...,0
tumour infiltrating lymphocytes,n/a,N/A,0
turangi-ghanda,withania somnifera,withania somnifera,0
ty25,...,...,0
tyrphostin ag-528,...,...,0
u 76252,cefpodoxime,cefpodoxime,0
u 87,...,...,0
u-lactin,urea,urea,0
u347pv74il,trastuzumab-qyyp,trastuzumab-qyyp,0
u87 autologous car t-cell,...,...,0
u87 autologous car t-cell(shanghai unicar-therapy bio-medicine technology),...,...,0
u87-cart(shanghai unicar-therapy bio-medicine technology),...,...,0
ucar t-cell,...,...,0
ucar-t cells,...,...,0
ucart,...,...,0
ucart (universal chimeric antigen receptor t-cells),...,...,0
ucartcs1a,...,...,0
ucb 170,meclizine,Meclizine,0
ucb-derived expanded allogeneic nk cells,...,...,0
ucb-mk,not applicable,Not applicable,0
uclh801 cells,...,...,0
udicil,cytarabine liposome,cytarabine liposome,0
uftoral (tn),trastuzumab-qyyp,trastuzumab-qyyp,0
uherb yueju pills,not applicable,Not applicable,0
ulacort,prednisolone,prednisolone,0
uloric,trastuzumab-qyyp,trastuzumab-qyyp,0
ultra mide,urea,urea,0
ultra r,barium,barium,0
ultracorten h,prednisolone,prednisolone,0
ultracortene-h,prednisolone,prednisolone,0
ultralytic 2,urea,urea,0
ultraselective ctace,...,...,0
umbilical cord blood megakaryocyte,not applicable,Not applicable,0
umbilical cord blood-derived expanded allogeneic natural killer cells,...,...,0
un 1791,sodium hypochlorite,sodium hypochlorite,0
uni-cenna,senna,senna,0
unicar-t,...,...,0
unii-08179htp27 (is),clopidogrel,clopidogrel,0
unii-0x5a3c04id,zio-201-t,ZIO-201-T,0
unii-0z5b2cjx4d,fludeoxyglucose f-18,fludeoxyglucose f-18,0
unii-203546olmf,methoxyamine hydrochloride,methoxyamine hydrochloride,0
unii-253gqw851q,tlc178,TLC178,0
unii-2c598205qx,fluorodopa,fluorodopa,0
unii-38r1q0l1ze,fluorocholine,Fluorocholine,0
unii-3934ef02t7,[18f]-dcfpyl ligand,[18F]-DCFPyl Ligand,0
unii-6029hgl0qp,fluorocholine,Fluorocholine,0
unii-6qpn83hk2m,rta 744,RTA 744,0
unii-73033i28y6,mosapride,mosapride,0
unii-750w5330fy,glucosamine hydrochloride,Glucosamine Hydrochloride,0
unii-7ba3x03948,rta 744,RTA 744,0
unii-82vh67yon8,[18f]-dcfpyl ligand,[18F]-DCFPyl Ligand,0
unii-964mrk2pel,l-selenomethionine,L-selenomethionine,0
unii-9tzh4wy30j,methoxyamine,Methoxyamine,0
unii-g5b860b0g1,lutetium lu 177 jh020002,Lutetium Lu 177 JH020002,0
unii-hmi5gr78fr,trastuzumab-qyyp,trastuzumab-qyyp,0
unii-i8mfj1c0by,mosapride,mosapride,0
unii-mf497j489p,mosapride,mosapride,0
unii-zj0ekr6m10,[68ga]ga-psma,[68Ga]Ga-PSMA,0
uniplex 173,toluenesulfonamide,toluenesulfonamide,0
universal bcma car-t; universal cd19 car-t,...,...,0
universal car-t,...,...,0
universal car-t cells for treating hcc,...,...,0
universal car-t cells for treating mcrc,...,...,0
universal cd19 car-t,...,...,0
universal cd7-specific car gene-engineered t cells,...,...,0
universal cll1 car-t cells,...,...,0
