nct_id,drug_name_in_trial,resolves_to_bucket
NCT02794077,cyclophosphamide,cyclophosphamide
NCT02795988,capecitabine.,trastuzumab-qyyp
NCT02797717,cyclophosphamide,cyclophosphamide
NCT02799238,temozolomide,temozolomide
NCT02800486,Intra-arterial Cetuximab,trastuzumab-qyyp
NCT02802748,vinorelbine,tlc178
NCT02803203,osimertinib,trastuzumab-qyyp
NCT02805179,temozolomide,temozolomide
NCT02805725,cyclophosphamide,cyclophosphamide
NCT02806375,cyclophosphamide,cyclophosphamide
NCT02809053,sait101,trastuzumab-qyyp
NCT02809573,cyclophosphamide,cyclophosphamide
NCT02811861,everolimus,trastuzumab-qyyp
NCT02811978,dexamethasone,dexamethasone
NCT02812524,Intratumoral Ipilimumab,da-epoch-r followed by nivolumab
NCT02812706,Isatuximab SAR650984,velcade thalidomide dexamethasone
NCT02813135,avelumab,trastuzumab-qyyp
NCT02813135,cyclophosphamide,cyclophosphamide
NCT02813135,dexamethasone,dexamethasone
NCT02813135,everolimus,trastuzumab-qyyp
NCT02813135,irinotecan,irinotecan
NCT02813135,temozolomide,temozolomide
NCT02813135,vinorelbine,tlc178
NCT02815319,dexamethasone,dexamethasone
NCT02819024,dexamethasone,dexamethasone
NCT02820857,folfiri,trastuzumab-qyyp
NCT02821507,cyclophosphamide,cyclophosphamide
NCT02825147,dexamethasone,dexamethasone
NCT02828358,cyclophosphamide,cyclophosphamide
NCT02828358,dexamethasone,dexamethasone
NCT02828358,prednisolone,prednisolone
NCT02830724,Cyclophosphamide,cyclophosphamide
NCT02831686,dexamethasone,dexamethasone
NCT02835833,nintedanib,da-epoch-r followed by nivolumab
NCT02836496,prednisolone,prednisolone
NCT02838225,cyclophosphamide,cyclophosphamide
NCT02838342,Metronomic cyclophosphamide,cyclophosphamide
NCT02839707,Pegylated Liposomal Doxorubicin Hydrochloride,trastuzumab-qyyp
NCT02840539,dexamethasone,dexamethasone
NCT02841579,osimertinib,trastuzumab-qyyp
NCT02842749,everolimus,trastuzumab-qyyp
NCT02843074,dexamethasone,dexamethasone
NCT02844309,thalidomide,velcade thalidomide dexamethasone
NCT02845323,Nivolumab in,da-epoch-r followed by nivolumab
NCT02845882,cyclophosphamide,cyclophosphamide
NCT02845882,dexamethasone,dexamethasone
NCT02845999,cyclophosphamide,cyclophosphamide
NCT02846428,cyclophosphamide,cyclophosphamide
NCT02846623,venetoclax,trastuzumab-qyyp
NCT02852382,bupivacaine,bupivacaine liposome
NCT02853318,cyclophosphamide,cyclophosphamide
NCT02856425,nintedanib,da-epoch-r followed by nivolumab
NCT02857569,Ipilimumab IT,da-epoch-r followed by nivolumab
NCT02858310,cyclophosphamide,cyclophosphamide
NCT02858804,cyclophosphamide,cyclophosphamide
NCT02858804,dexamethasone,dexamethasone
NCT02858804,thalidomide,velcade thalidomide dexamethasone
NCT02861417,cyclophosphamide,cyclophosphamide
NCT02861898,Intra-arterial Cetuximab,trastuzumab-qyyp
NCT02862457,Carboplatin AUC 6,trastuzumab-qyyp
NCT02862457,Carboplatin Area Under the Curve 5,trastuzumab-qyyp
NCT02865135,cyclophosphamide,cyclophosphamide
NCT02866786,metformin,metformin
NCT02869217,cyclophosphamide,cyclophosphamide
NCT02869789,Nivolumab in combination,da-epoch-r followed by nivolumab
NCT02870907,cyclophosphamide,cyclophosphamide
NCT02871791,everolimus,trastuzumab-qyyp
NCT02871843,Fixed dose Temozolomide (,temozolomide
NCT02871843,tmz,temozolomide
NCT02872818,estradiol,estradiol
NCT02872818,metformin,metformin
NCT02873819,cyclophosphamide,cyclophosphamide
NCT02874742,dexamethasone,dexamethasone
NCT02876302,cyclophosphamide,cyclophosphamide
NCT02876510,cyclophosphamide,cyclophosphamide
NCT02877303,cyclophosphamide,cyclophosphamide
NCT02877303,dexamethasone,dexamethasone
NCT02877550,venetoclax,trastuzumab-qyyp
NCT02880228,dexamethasone,dexamethasone
NCT02880293,cyclophosphamide,cyclophosphamide
NCT02881086,cyclophosphamide,cyclophosphamide
NCT02881086,dexamethasone,dexamethasone
NCT02881086,prednisolone,prednisolone
NCT02883049,cyclophosphamide,cyclophosphamide
NCT02883049,dexamethasone,dexamethasone
NCT02885753,Oxaliplatin intra-arteriel,trastuzumab-qyyp
NCT02885753,irinotecan,irinotecan
NCT02889523,cyclophosphamide,cyclophosphamide
NCT02889523,prednisolone,prednisolone
NCT02889692,YiQiFang,unknown
NCT02890069,everolimus,trastuzumab-qyyp
NCT02891811,carfilzomib,velcade thalidomide dexamethasone
NCT02891811,dexamethasone,dexamethasone
NCT02891811,thalidomide,velcade thalidomide dexamethasone
NCT02892123,vinorelbine,tlc178
NCT02896582,Aracytine,cytarabine liposome
NCT02896582,dexamethasone,dexamethasone
NCT02897700,Single agent of cyclophosphamide,cyclophosphamide
NCT02897700,cyclophosphamide,cyclophosphamide
NCT02898012,temozolomide,temozolomide
NCT02899052,carfilzomib,velcade thalidomide dexamethasone
NCT02899052,dexamethasone,dexamethasone
NCT02899052,venetoclax,trastuzumab-qyyp
NCT02900742,Docetaxel®,trastuzumab-qyyp
NCT02900742,Gemcitabine®,trastuzumab-qyyp
NCT02900742,YiQiFang,unknown
NCT02902042,Pembrolizumab alone,pembrolizumab and berahyaluronidase alfa-pmph
NCT02902965,dexamethasone,dexamethasone
NCT02903004,Weekly Paclitaxel,trastuzumab-qyyp
NCT02903069,tmz,temozolomide
NCT02903381,dexamethasone,dexamethasone
NCT02905188,cyclophosphamide,cyclophosphamide
NCT02906059,irinotecan,irinotecan
NCT02908750,osimertinib,trastuzumab-qyyp
NCT02909478,dexamethasone,dexamethasone
NCT02909751,Pertuzumab saturation,trastuzumab-qyyp
NCT02909751,cyclophosphamide,cyclophosphamide
NCT02909933,metformin,metformin
NCT02910583,venetoclax,trastuzumab-qyyp
NCT02910817,metformin,metformin
NCT02911142,cyclophosphamide,cyclophosphamide
NCT02912572,avelumab,trastuzumab-qyyp
NCT02914470,carbplatin,trastuzumab-qyyp
NCT02914470,cyclophophamide,cyclophosphamide
NCT02915523,avelumab,trastuzumab-qyyp
NCT02915744,vinorelbine,tlc178
NCT02915783,everolimus,trastuzumab-qyyp
NCT02916771,dexamethasone,dexamethasone
NCT02917941,dexamethasone,dexamethasone
NCT02917993,osimertinib,trastuzumab-qyyp
NCT02918331,dexamethasone,dexamethasone
NCT02919787,Oxaliplatine,trastuzumab-qyyp
NCT02919787,irinotecan,irinotecan
NCT02921061,mitoxantrone,mitoxantrone
NCT02921893,dexamethasone,dexamethasone
NCT02922959,naloxone,trastuzumab-qyyp
NCT02923466,avelumab,trastuzumab-qyyp
NCT02923947,Osimertinib; AZD9291,trastuzumab-qyyp
NCT02925000,TLC178,tlc178
NCT02925494,estradiol,estradiol
NCT02926053,cyclophosphamide,cyclophosphamide
